scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG8,15000001,15100000,15052385,5867,3403,36.6276,34.0391,0.0366,0.0054,0.0031
LG8,15100001,15200000,15152082,6934,3907,55.3626,49.6022,0.0549,0.0089,0.0055
LG8,15200001,15300000,15250266,6819,3833,37.9772,50.8314,-0.1447,-0.023,-0.0141
LG8,15300001,15400000,15351294,6495,3610,101.9336,40.8451,0.4279,0.1244,0.0641
LG8,15400001,15500000,15448739,7778,4193,29.8691,49.9421,-0.2515,-0.0353,-0.0206
LG8,15500001,15600000,15551181,6761,3751,70.1497,61.306,0.0673,0.014,0.0087
LG8,15600001,15700000,15652222,6346,3509,69.2526,47.0859,0.1905,0.0386,0.0234
LG8,15700001,15800000,15754859,6027,3442,121.6947,65.7259,0.2986,0.0848,0.0538
LG8,15800001,15900000,15842951,4991,2711,145.8021,41.7292,0.555,0.1932,0.1122
LG8,15900001,16000000,15950826,6788,3725,42.0898,75.1159,-0.2818,-0.0549,-0.0329
LG8,16000001,16100000,16051827,6215,3485,38.7057,48.362,-0.1109,-0.0175,-0.0098
LG8,16100001,16200000,16152556,6276,3310,68.6758,52.3633,0.1348,0.0363,0.0209
LG8,16200001,16300000,16250333,6433,3263,70.9837,57.5358,0.1046,0.0252,0.0152
LG8,16300001,16400000,16350130,4385,1950,856.2331,149.8164,0.7022,0.7,0.5571
LG8,16400001,16500000,16454318,5444,2912,129.2292,41.6719,0.5123,0.1865,0.1079
LG8,16500001,16600000,16554144,5184,3168,46.6595,46.7428,-0.0009,-0.0002,-0.0001
LG8,16600001,16700000,16650839,5928,3090,63.9258,43.1654,0.1939,0.0391,0.0234
LG8,16700001,16800000,16749793,5609,3074,49.5605,39.8678,0.1084,0.0173,0.0115
LG8,16800001,16900000,16849089,6537,3679,59.3112,70.9727,-0.0895,-0.0165,-0.0101
LG8,16900001,17000000,16947622,5727,3227,78.0378,71.4909,0.0438,0.0151,0.0088
LG8,17000001,17100000,17051453,5588,3443,68.2806,35.4993,0.3159,0.066,0.0378
LG8,17100001,17200000,17150135,5964,3626,183.7207,33.9447,0.6881,0.2766,0.1617
LG8,17200001,17300000,17247457,5286,3117,70.5475,22.8444,0.5108,0.1116,0.0611
LG8,17300001,17400000,17342045,3777,2348,83.1921,76.4056,0.0425,0.0385,0.0158
LG8,17400001,17500000,17450521,4686,2912,52.5723,22.8691,0.3937,0.0957,0.0506
LG8,17500001,17600000,17549033,5477,3461,76.6706,19.6497,0.592,0.1145,0.0737
LG8,17600001,17700000,17651006,5247,3282,35.1901,39.9297,-0.0631,-0.0073,-0.0051
LG8,17700001,17800000,17750401,5718,3143,21.1947,20.5801,0.0147,0.0014,0.0009
LG8,17800001,17900000,17855520,5239,2591,53.4551,115.6009,-0.3676,-0.144,-0.0836
LG8,17900001,18000000,17951360,5455,3190,30.9831,53.6029,-0.2674,-0.0443,-0.029
LG8,18000001,18100000,18049672,5496,3152,52.5501,20.6647,0.4355,0.0675,0.0425
LG8,18100001,18200000,18150019,6122,3461,137.14,39.7285,0.5508,0.1885,0.1042
LG8,18200001,18300000,18254769,5776,3435,52.39,67.4681,-0.1258,-0.0281,-0.0166
LG8,18300001,18400000,18347785,5326,3134,115.2604,44.724,0.4409,0.1129,0.0707
LG8,18400001,18500000,18450178,6355,3386,29.4688,30.8854,-0.0235,-0.0025,-0.0017
LG8,18500001,18600000,18547600,5950,3378,85.6048,50.2142,0.2606,0.0707,0.0393
LG8,18600001,18700000,18648585,5309,2966,42.9557,29.487,0.1859,0.027,0.0185
LG8,18700001,18800000,18752670,5681,3172,121.4772,95.1647,0.1215,0.0406,0.0272
LG8,18800001,18900000,18852157,8299,4588,141.181,110.1654,0.1234,0.0406,0.023
LG8,18900001,19000000,18955069,9571,4369,137.9056,91.3223,0.2032,0.0527,0.0332
LG8,19000001,19100000,19054859,6887,3777,101.3145,64.377,0.2229,0.0685,0.0382
LG8,19100001,19200000,19154993,5011,2652,64.5573,29.0625,0.3791,0.1162,0.0799
LG8,19200001,19300000,19253696,6754,3575,73.2767,68.4798,0.0338,0.0095,0.0052
LG8,19300001,19400000,19353344,7182,4051,114.4844,76.9115,0.1963,0.0778,0.0438
LG8,19400001,19500000,19450920,8392,3836,128.0482,93.8607,0.1541,0.0426,0.0252
LG8,19500001,19600000,19548789,10075,5376,129.6556,127.8379,0.0071,0.0024,0.0014
LG8,19600001,19700000,19650969,8122,4754,174.2852,64.6966,0.4586,0.2266,0.1096
