-0.120133,-0.212232,-0.200358,-0.140997,-0.152444,-0.112929,-0.287044,-0.175398,-0.155172,-0.187841,-0.198598,-0.196847,-0.19847,-0.172487,-0.203166,-0.160838,-0.201275,-0.156461,-0.13479,-0.106793	0.0697349,0.0240525,0.0477966,0.00935506,0.0454031,0.0513634,0.0446229,0.0616451,0.0469996,0.0258026,-0.0755462,0.0937513,0.0738488,0.101794,0.0373607,0.0556026,0.0885625,0.0754131,0.1054,0.0762617	-0.188291,-0.235084,-0.245801,-0.150154,-0.196487,-0.163345,-0.327472,-0.234508,-0.200708,-0.212614,-0.124927,-0.285332,-0.268386,-0.269549,-0.238715,-0.214522,-0.284762,-0.22917,-0.236825,-0.181576
-0.0236029,-0.0925673,-0.130117,-0.0342823,-0.0297222,-0.0417287,-0.20454,-0.04234,-0.0787874,-0.111582,-0.103288,-0.116191,-0.0613086,-0.102592,-0.0942753,-0.0761061,-0.0318655,-0.0790518,-0.0754703,-0.0212058	-0.0238921,-0.0206259,0.0115675,-0.0995224,-0.0477148,-0.0131694,-0.0781005,-0.0384955,-0.069612,-0.0118294,0.000984079,-0.142593,-0.0916263,-0.0196735,-0.0772109,-0.139718,0.0972995,0.0114589,-0.0230787,-0.108769	0.000289422,-0.0720791,-0.141471,0.0654634,0.0180182,-0.0285749,-0.128492,-0.00385078,-0.00922597,-0.099884,-0.104261,0.0268461,0.030489,-0.0830865,-0.0171895,0.0642953,-0.128766,-0.0904288,-0.0524829,0.0877655
0.0167816,-0.0603823,0.0281176,0.0706666,0.0503991,0.00809347,-0.103798,0.0437258,0.0812533,0.121155,-0.0283172,-0.0368747,0.0110905,0.0285017,0.0543815,0.0107009,0.00549238,0.0042716,-0.0181111,0.0749889	-0.338816,-0.55961,-0.671429,-0.520195,-0.502077,-0.404939,-0.616638,-0.455987,-0.593491,-0.471062,-0.443344,-0.571568,-0.503455,-0.387799,-0.62392,-0.468725,-0.595307,-0.504581,-0.550187,-0.45447	0.353587,0.516687,0.686585,0.569911,0.538841,0.411683,0.547909,0.489944,0.643703,0.560243,0.420304,0.546205,0.511688,0.41175,0.656043,0.477033,0.598841,0.507758,0.537432,0.512009
-0.299394,-0.425472,-0.506401,-0.333831,-0.322428,-0.332759,-0.437941,-0.349203,-0.397359,-0.355956,-0.380987,-0.401988,-0.401247,-0.397264,-0.437848,-0.356231,-0.444899,-0.430508,-0.419426,-0.339988	-0.0635159,-0.00550609,-0.000965242,-0.0229114,-0.0618137,-0.0599847,0.0116865,0.00785861,-0.0366994,-0.0184968,-0.024302,-0.028426,-0.020442,-0.0176382,-0.00872661,-0.00315044,0.0204719,-0.0757061,0.0216385,-0.0317921	-0.240451,-0.420952,-0.505683,-0.313316,-0.265914,-0.27833,-0.447338,-0.356085,-0.365997,-0.339696,-0.360018,-0.37788,-0.383954,-0.382305,-0.430768,-0.353477,-0.461171,-0.366755,-0.437098,-0.311563
-0.245364,-0.389801,-0.393369,-0.280419,-0.293375,-0.270978,-0.372586,-0.301639,-0.341804,-0.301859,-0.342233,-0.35545,-0.316116,-0.325096,-0.374855,-0.30689,-0.37378,-0.34325,-0.348851,-0.272982	-0.0705282,-0.0282766,-0.0329421,-0.0936012,-0.080265,-0.0781364,0.0274553,-0.0447608,-0.060048,-0.0416929,-0.0646136,-0.0484579,-0.000530705,-0.0348602,-0.0226446,0.00320262,0.00734538,-0.0559753,0.0214373,-0.000644284	-0.177914,-0.365554,-0.365158,-0.191853,-0.21825,-0.197013,-0.395991,-0.260394,-0.28766,-0.263482,-0.283897,-0.312373,-0.315639,-0.293563,-0.355226,-0.309788,-0.380082,-0.292902,-0.36754,-0.272386
0.112651,0.0494141,0.0620615,0.0585177,0.0346812,0.026918,0.0307507,0.0582853,0.188176,0.0710608,0.0655976,0.0580945,0.0635834,0.0542951,0.0998633,0.0632714,0.0165419,0.0527411,0.121767,0.0953484	-0.57711,-0.801212,-0.866956,-0.727477,-0.740942,-0.698156,-0.853858,-0.69581,-0.785943,-0.744584,-0.749549,-0.80155,-0.766723,-0.703209,-0.843479,-0.725074,-0.824376,-0.792861,-0.76078,-0.707689	0.647656,0.818231,0.881584,0.753901,0.756192,0.711699,0.861976,0.724705,0.848613,0.774657,0.776945,0.821395,0.79171,0.729645,0.870055,0.753765,0.829604,0.811662,0.807722,0.752276
0.0696814,0.100087,0.152464,0.110563,0.0570406,0.139663,0.0761554,0.104776,0.211348,0.112575,0.104875,0.146079,0.130319,0.156369,0.167826,0.144703,0.0799085,0.170608,0.196581,0.123549	0.142121,0.144329,0.194347,0.165047,0.122361,0.181019,0.172306,0.185625,0.277103,0.175638,0.0482152,0.193812,0.179685,0.200588,0.220419,0.192343,0.200824,0.203994,0.257429,0.155441	-0.0731646,-0.0448907,-0.0431618,-0.055497,-0.06578,-0.0424284,-0.0974291,-0.082453,-0.0698459,-0.064335,0.0569476,-0.0491231,-0.0505499,-0.0456515,-0.0546124,-0.0490042,-0.122888,-0.0345889,-0.0640908,-0.0325165
0.0732494,0.107709,0.120755,0.100446,0.0710599,0.049323,0.114312,0.0998493,0.193962,0.112056,0.0637347,0.0944534,0.134411,0.0896324,0.133478,0.113239,0.0761664,0.114544,0.0981421,0.112215	-0.0553428,-0.0337085,0.0422843,-0.0730564,-0.0877117,-0.0480685,-0.0275007,-0.067512,0.0394416,0.0405048,-0.0289217,-0.173151,-0.132733,-0.0640692,-0.0594115,-0.132443,0.00865988,-0.00531218,-0.0365437,-0.13036	0.128073,0.140906,0.0788736,0.172238,0.157788,0.0971611,0.141368,0.166241,0.155712,0.071877,0.092486,0.263298,0.262462,0.152824,0.191372,0.242052,0.067551,0.119784,0.134205,0.239078
2.23906e-05,-0.037028,-0.00536278,0.0363509,0.0111216,-0.0199772,0.00705712,0.0180506,0.0904175,0.103939,-0.000944045,0.0269396,0.00108915,0.0098887,0.0264939,0.0307123,-0.0143135,0.027992,0.000841062,0.0494628	-0.431253,-0.634715,-0.739204,-0.580128,-0.582355,-0.495167,-0.679599,-0.552353,-0.636466,-0.554009,-0.534282,-0.646464,-0.613226,-0.532693,-0.693006,-0.551131,-0.672646,-0.586466,-0.613755,-0.544811	0.431271,0.612072,0.736762,0.603747,0.589658,0.479938,0.683379,0.564773,0.687329,0.622124,0.533607,0.661877,0.613905,0.539738,0.706528,0.572159,0.664732,0.604534,0.614279,0.57868
-0.20401,-0.307466,-0.412177,-0.267763,-0.238691,-0.264287,-0.299318,-0.241132,-0.309509,-0.237688,-0.290438,-0.263997,-0.252847,-0.244777,-0.312651,-0.26206,-0.343321,-0.289759,-0.305816,-0.229509	-0.0705833,-0.0496769,-0.0612054,-0.0515238,-0.0955603,-0.0928155,-0.0623297,-0.0257403,-0.0610101,-0.0350878,-0.0950339,-0.0892376,-0.0583726,-0.0512099,-0.0354358,-0.0566483,-0.0117585,-0.0768141,-0.010081,-0.044635	-0.135376,-0.261787,-0.360055,-0.219264,-0.146472,-0.175784,-0.241493,-0.216737,-0.253281,-0.204304,-0.200951,-0.178975,-0.197388,-0.196025,-0.280321,-0.208507,-0.332906,-0.217792,-0.296649,-0.186787
